,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature(F),Wind Speed
0,padang,76,ID,100,-0.92,100.36,78.92,13.02
1,ixtapa,75,MX,83,20.71,-105.21,78.8,2.62
2,busselton,0,AU,100,-33.64,115.35,61.64,2.73
3,vaini,92,IN,97,15.34,74.49,73.97,5.75
4,vaini,92,IN,97,15.34,74.49,73.97,5.75
5,sisimiut,92,GL,100,66.94,-53.67,33.83,2.17
6,kirakira,92,SB,100,-10.46,161.92,81.35,19.17
7,jacareacanga,0,BR,88,-6.22,-57.76,70.82,0.94
8,newport,56,GB,38,51.59,-3.0,59.58,5.82
9,dikson,92,RU,99,73.51,80.55,32.66,13.69
